,Ab-Chord.gmm,B-Chord.gmm,Eb-Chord.gmm,Bb-Chord.gmm,D-Chord.gmm,F-Chord.gmm,E-Chord.gmm,A-Chord.gmm,G-Chord.gmm,C#-Chord.gmm,F#-Chord.gmm,C-Chord.gmm,Classification
Test_Recordings/test_sample1.wav,-19.542464610099525,-19.49249486497486,-21.493015871237144,-20.587384223315794,-20.531593564277223,-19.987057201016416,-20.503996099076662,-20.90166533154635,-19.626636772873752,-20.065096151264257,-20.466359066560052,-20.528202729878945,B-Chord
Test_Recordings/test_sample2.wav,-22.323265539992686,-20.934872721093047,-26.79941518318522,-23.818720565355246,-26.330973337098477,-27.030543596968325,-23.86968315236022,-23.833091774473605,-23.840510822864122,-23.319686233143077,-26.949213121008416,-22.476360688811745,B-Chord
Test_Recordings/test_sample3.wav,-17.74857840771307,-15.545117685561175,-18.60206736244342,-18.567083298227427,-18.353803356918725,-20.740544874295395,-18.36563404113621,-18.694653498388767,-18.108721184601464,-18.446558391189946,-17.66323292302196,-18.975712621355015,B-Chord
Test_Recordings/test_sample4.wav,-40.00674624453588,-43.145654051440694,-44.26073615336263,-46.521527233489365,-40.94880258621844,-41.81706956023283,-39.51674286072207,-43.75913818252742,-43.38302777500385,-44.59049930102641,-43.636269382667464,-40.804580046283114,E-Chord
Test_Recordings/test_sample5.wav,-18.649141431474792,-14.532297140560043,-18.265757119936147,-17.13370474418587,-15.377257344005105,-17.872184070329848,-17.922539322438034,-17.314973569816367,-15.783021048316474,-15.666983260617613,-17.522235145075147,-17.35109865073393,B-Chord
